track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_ms_log,duration_ms_scaled,loudness_clipped,loudness_scaled,tempo_clipped,tempo_scaled,danceability_scaled,energy_scaled,valence_scaled,speechiness_log,speechiness_scaled,acousticness_scaled,liveness_scaled,instrumentalness_binary,key_sin,key_cos,mode_scaled,time_signature_orig,time_signature_1,time_signature_3,time_signature_4,time_signature_5
1grvqYbhgqJxwdzeY1vgSb,Scorpions,Blackout,No One Like You (2015 - Remaster),31,238866,0,0.441,0.796,9,-2.851,0,0.0431,0.0167,2.52e-06,0.166,0.696,118.146,4,hard-rock,12.383662190662557,0.32355288950798516,-2.851,1.106940486215726,118.146,-0.1723457277800262,-0.6803339882742808,0.5952238968816189,0.8604369066926635,0.04219704869978836,-0.42988239546668217,0.01676706827309237,0.15179032091631411,0,-1.0,-1.8369701987210297e-16,-1.331937902984166,4,False,False,True,False
2SVJX8h6SlkMwfCplSMWyk,Grim YG,Natural Hot,Natural Hot,21,181133,1,0.877,0.596,7,-4.882,0,0.323,0.348,0.0,0.0585,0.717,96.887,4,j-dance,12.106992367829498,-0.3998070542748425,-4.882,0.674772284929413,96.887,-0.8920763490230303,1.7787203073299271,-0.20463566547737366,0.9401919001815855,0.27990188513281866,2.4920980380027618,0.3493975903614458,0.040862656072644735,0,-0.4999999999999997,-0.8660254037844388,-1.331937902984166,4,False,False,True,False
1hH6gstgij0Noc7UnOynAf,OQuadro;Jorge Du Peixe,Preto Sem Açúcar,Asas,21,192000,0,0.723,0.636,10,-10.265,0,0.25,0.3,2.37e-05,0.144,0.813,79.958,4,afrobeat,12.165255859329688,-0.24747574649213888,-10.265,-0.4706543165103819,79.958,-1.4652133586200395,0.9101552579651379,-0.044663753005575055,1.304786156130943,0.22314355131420976,1.7943977162803344,0.30120481927710846,0.12908884532040035,0,-0.8660254037844386,0.5000000000000001,-1.331937902984166,4,False,False,True,False
2nBrIzKacrNdIxs90FlsT1,Roses & Frey,Wake Me Up,Wake Me Up,58,196819,0,0.494,0.214,7,-11.041,1,0.0363,0.92,1.07e-05,0.107,0.35,125.981,3,acoustic,12.190044884452977,-0.1826642407196687,-11.041,-0.6357761895769397,125.981,0.0929108420228306,-0.38141225050587946,-1.732367429583049,-0.45362155745814625,0.035656677208034684,-0.5102797395565227,0.9236947791164659,0.09090909090909091,0,-0.4999999999999997,-0.8660254037844388,0.7507857519179617,3,False,True,False,False
3vq7aH5bBDHGg2szzHUdUw,Type O Negative,Post-Millennial Noise,I Don't Wanna Be Me,0,308826,0,0.473,0.977,8,-8.651,0,0.15,0.0243,0.604,0.0931,0.0449,100.552,4,alt-rock,12.64053652854368,0.9951570590782216,-8.651,-0.12721784340545353,100.552,-0.7679965368561544,-0.4998529390556235,1.3190968008165067,-1.6123476771471985,0.1397619423751587,0.7694314872076259,0.024397590361445783,0.07656588587349088,1,-0.8660254037844385,-0.5000000000000004,-1.331937902984166,4,False,False,True,False
4iW4MrGO9UEqshklHLwZRh,Kamisa 10,"Pagode do K10 (Ao Vivo em Goiânia), Vol. 1",Sou o Cara pra Você / 4G / Escondidinho / Nudes Não - Ao Vivo,44,424287,0,0.522,0.782,1,-6.383,1,0.0647,0.716,0.0,0.867,0.702,159.877,4,pagode,12.958167748914445,1.825611567482284,-6.383,0.35538062066020765,159.877,1.2404713640442275,-0.22349133243955402,0.5392337275164893,0.8832240476894984,0.06269306933842342,-0.17793560225555477,0.7188755020080322,0.8751418842224745,0,0.49999999999999994,0.8660254037844387,0.7507857519179617,4,False,False,True,False
1bKQ48M9onID2kbSpRy8kK,Scorpions,Crazy World,Send Me An Angel,70,273333,0,0.153,0.417,1,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,80.87,3,german,12.518449769593742,0.67595827481492,-11.587,-0.7519573012964507,80.87,-1.4343372907629612,-2.3046634312421976,-0.9205099737886717,-1.152427214694415,0.03130484982841248,-0.563774462860881,0.43574297188755023,0.1982251573625013,0,0.49999999999999994,0.8660254037844387,0.7507857519179617,3,False,True,False,False
58eukN93h5b7rBlbcR6owz,Ewert,Trading Bikes,Trading Bikes,31,177622,0,0.822,0.459,5,-5.009,1,0.073,0.287,0.822,0.287,0.521,90.028,4,study,12.087418605659726,-0.4509831289105216,-5.009,0.647748473229087,90.028,-1.1242901093648037,1.4685185039853592,-0.7525394656932832,0.19581196095164718,0.07045846364856141,-0.08247969747512839,0.28815261044176704,0.27664843669383965,1,0.49999999999999994,-0.8660254037844387,0.7507857519179617,4,False,False,True,False
5Zq9n3NJ6QOsvcFwvS5SuC,Zé Vaqueiro,O Original,Forró No Interior,49,169049,0,0.712,0.918,2,-1.957,1,0.0722,0.35,0.0,0.109,0.83,149.897,4,forro,12.037949808136032,-0.5803204965689212,-1.957,1.2971710977125077,149.897,0.9025950951696241,0.8481148972962244,1.0831382299206043,1.369349722288642,0.0697126124113003,-0.09164805414072752,0.3514056224899598,0.09297286141781035,0,0.8660254037844386,0.5000000000000001,0.7507857519179617,4,False,False,True,False
4jyjh3jL2utCwaKTqKwI9l,Clean Bandit;Jess Glynne;The Magician,10's Dance Classics,Rather Be - The Magician Remix,0,274800,0,0.809,0.757,1,-6.246,0,0.0424,0.0157,0.0943,0.0997,0.587,121.013,4,funk,12.523802478333899,0.6899530612853686,-6.246,0.38453229154953544,121.013,-0.07528247498809355,1.3951980777402802,0.43925128222161525,0.44647051191683035,0.04152574682849831,-0.4381343560169825,0.01576305220883534,0.083376328552265,0,0.49999999999999994,0.8660254037844387,-1.331937902984166,4,False,False,True,False
